URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.eu/fhir/laboratory/ValueSet/lab-certifiedRefMaterial-eu-lab,0.2.0-ci,draft,,LabCertifiedReferenceMaterialVS,Laboratory Certified Reference Material,"List of the coded concepts describing the certified reference material used for the calibration, typically used when the unit of the result is UCUM [IU].","StructureDefinition/observation-certifiedRefMaterialCodeable","Other"
http://hl7.eu/fhir/laboratory/ValueSet/lab-laterality-eu-lab,0.2.0-ci,draft,,LabLateralityEuVs,Body Structure Laterality,"Body Structure site laterality qualifier. It indicates the body site laterality from which a laboratory specimen is collected. (based on SNOMED CT)","StructureDefinition/BodyStructure-eu-lab","SCT"
http://hl7.eu/fhir/laboratory/ValueSet/lab-obsCode-eu-lab,0.2.0-ci,draft,,LaboratoryResultStandardEuVs,Laboratory Code,"Laboratory observation codes. List of Laboratory observation codes derived from the LOINC and NPU code systems.","StructureDefinition/Observation-resultslab-eu-lab",
http://hl7.eu/fhir/laboratory/ValueSet/lab-obsCode-loinc-eu-lab,0.2.0-ci,draft,,LoincVs,Laboratory Code: LOINC,"Laboratory observation codes based on the LOINC code system.","ValueSet/lab-obsCode-eu-lab","LOINC"
http://hl7.eu/fhir/laboratory/ValueSet/lab-obsCode-npu-eu-lab,0.2.0-ci,draft,,NpuVs,Laboratory Code: NPU,"Laboratory observation codes based on the NPU code system.","ValueSet/lab-obsCode-eu-lab","Other"
http://hl7.eu/fhir/laboratory/ValueSet/lab-orderCodes-eu-lab,0.2.0-ci,draft,,LabOrderCodesEuVs,Laboratory Order,"List of LOINC Laboratory codes of type 'Order' or 'Both. This value set is built upon the IPS value set 'Results Laboratory Observation - IPS'","StructureDefinition/ServiceRequest-eu-lab","LOINC"
http://hl7.eu/fhir/laboratory/ValueSet/lab-reportType-eu-lab,0.2.0-ci,draft,,LabReportTypesEuVs,Laboratory Report Types,"Laboratory Report Types. This version includes only one code as suggested by the eHN guideline. Category can be used for filtering per study type or specialty.","StructureDefinition/DiagnosticReport-eu-lab,StructureDefinition/Composition-eu-lab","LOINC"
http://hl7.eu/fhir/laboratory/ValueSet/lab-siteQualifier-eu-lab,0.2.0-ci,draft,,LabSiteQualifierEuVs,Body Structure Qualifier,"Body Structure site qualifier. It indicates the body site qualifier from which a laboratory specimen is collected. (based on SNOMED CT)","StructureDefinition/BodyStructure-eu-lab","SCT"
http://hl7.eu/fhir/laboratory/ValueSet/lab-specialty-eu-lab,0.2.0-ci,draft,,LabSpecialtyEuVs,Laboratory Specialty,"Laboratory Specialties. Notes: Note 1: This value set is based on analysis of national coding practices in 8 European countries (AT, CZ, DE, FR, IE, IT, PT, SE) and agreed by involved lab experts as a common lab specialty value set. Note 2: Many European countries are using additional laboratory specialty types, which should be mapped towards this value set. Note 3: In case of documented need, this value set could be extended.","StructureDefinition/DiagnosticReport-eu-lab,StructureDefinition/Observation-resultslab-eu-lab,StructureDefinition/Composition-eu-lab","SCT"
http://hl7.eu/fhir/laboratory/ValueSet/lab-speciesType-eu-vs,0.2.0-ci,draft,,LabSpeciesTypesEuVs,Types of species,"Types of animal species for non-human subjects","StructureDefinition/Patient-animal-eu-lab","SCT"
